TDT_Sample	TDT_status
2759319	83.811
2763996	94.365
2768692	122.801
2774153	135.136
2778842	137.795
2783537	138.537
2789006	138.780
2793689	138.880
2798385	138.808
2803071	139.298
2808537	139.579
2813233	139.510
2817909	139.537
2822605	139.450
2828077	139.312
2832760	139.336
2837471	139.318
2842144	139.610
2847606	139.198
2852290	139.315
2856994	139.629
2861678	139.518
2867149	139.430
2871829	139.711
2876516	139.518
2881206	139.632
2886674	139.585
2891355	139.578
2896051	139.398
2900740	139.207
2906209	139.775
2910909	139.348
2915601	139.585
2920273	139.431
2925749	135.914
2930443	116.601
2935124	89.103
2939812	77.570
2945276	71.992
2949980	65.559
2954679	56.005
2959337	65.093
2964823	59.660
2969497	56.838
2974192	51.895
2978875	51.876
2984335	52.116
2989030	51.768
2993715	52.336
2998404	52.861
3003871	52.910
3008570	55.383
3013283	78.293
3018716	96.249
3023410	113.276
3028115	135.296
3032783	137.434
3038257	138.870
3042944	139.665
3047635	139.733
3052334	139.739
3057785	139.876
3062475	139.102
3067172	138.791
3071854	138.858
3077438	139.192
3082021	139.299
3086701	139.121
3091387	139.194
3096857	139.103
3101551	139.165
3106231	139.389
3110922	139.495
3116394	139.548
3121083	139.754
3125764	139.790
3130524	139.835
3136007	139.840
3140611	140.107
3145301	139.963
3149985	139.711
3155454	139.621
3160145	139.707
3164832	139.671
3169528	139.667
3174985	139.522
3179678	139.774
3184363	139.695
3189061	139.765
3194542	139.565
3199226	139.750
3203906	139.629
3208589	139.517
3214057	139.874
3218753	139.824
3223437	139.900
3228127	139.918
3233592	139.927
3238287	139.668
3242968	139.751
3247657	139.742
3253123	139.758
3257828	139.967
3262504	139.583
3267966	139.874
3272660	139.632
3277346	139.767
3282047	139.790
3287508	139.568
3292187	139.909
3296891	139.577
3301570	139.990
3307040	139.524
3311740	139.923
3316427	139.621
3321110	139.810
3326571	139.974
3331271	139.867
3335956	139.989
3340646	139.733
3346110	139.687
3350803	139.810
3355487	139.751
3360176	139.814
3365635	139.876
3370326	139.813
3375028	140.133
3379706	139.848
3385179	139.861
3389868	140.029
3394550	139.959
3399237	139.978
3404715	139.635
3409399	139.651
3414081	139.727
3418780	139.974
3424241	139.665
3428933	140.129
3433615	139.717
3438320	139.458
3443777	140.014
3448466	139.864
