Trial	CorrectionTrial	StartTime	CenterReward	CenterSpoutRotation	nStimReps	Duration	Modality	LED_Location	LED_trial_V	LED_bgnd_V	Speaker_Location	Speaker_trial_V	Speaker_bgnd_V	TargetSpout	HoldTime	Response	RespTime	ValveTime	Correct	CenterPixelVal	
27	0	409.689	0	-30	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.526	3	411.499	0.120	1	255	
28	0	416.364	0	-30	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.551	9	418.918	0.180	1	255	
29	0	434.601	0	-30	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.501	9	436.577	0.000	0	255	
30	1	442.397	0	-30	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.501	3	444.226	0.120	1	255	
31	0	448.915	0	-30	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.501	3	451.753	0.120	1	255	
32	0	456.833	0	-30	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.476	9	460.338	0.180	1	255	
33	0	477.234	0	-30	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.551	9	478.896	0.180	1	255	
34	0	495.551	1	-30	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.451	3	502.906	0.120	1	255	
35	0	508.223	0	-30	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.526	3	510.443	0.000	0	255	
36	1	515.961	0	-30	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.526	9	517.903	0.180	1	255	
37	0	534.737	0	-30	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.451	3	537.168	0.120	1	255	
38	0	542.050	0	-30	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.551	3	544.133	0.000	0	255	
39	1	550.390	0	-30	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.551	3	553.175	0.000	0	255	
40	1	565.381	0	-30	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.551	9	568.326	0.180	1	255	
41	0	585.175	0	-30	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.526	9	587.510	0.180	1	255	
42	0	607.279	0	-30	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.501	9	609.587	0.000	0	255	
43	1	613.861	0	-30	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.501	3	616.099	0.120	1	255	
44	0	620.684	0	-30	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.476	3	623.315	0.000	0	255	
45	1	628.485	0	-30	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.476	9	630.364	0.180	1	255	
46	0	654.990	0	-30	1	0.250	2	9	0.0	0.0	11	48.0	30.000	9	0.526	9	657.352	0.180	1	255	
47	0	672.593	0	-30	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.476	3	674.809	0.120	1	255	
48	0	679.715	0	-30	1	0.250	2	3	0.0	0.0	5	48.0	30.000	3	0.551	3	681.701	0.120	1	255	
